Nazwa;Podkategoria;Kategoria g³owna;;Kalorie;Tluszcz;Bialko;Weglowodany
Ryz na sypko ze smalcem;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;124;2;2,1;24,9
Ryz z jablkami;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;154;2,2;2;32,3
Salata zielona z olejem;Surowki;Potrawy z warzyw;Potrawy;111;11,6;1;2,1
Salata zielona z pomidorem, ogorkiem, olejem;Surowki;Potrawy z warzyw;Potrawy;56;4,7;0,9;3,6
Salata zielona ze smietana;Surowki;Potrawy z warzyw;Potrawy;41;2,3;1,4;4,5
Salatka jarzynowa z warzyw gotowanych z majonezem;Warzywa gotowane;Potrawy z warzyw;Potrawy;192;16,5;2,9;10,9
Salatka z czerwonej kapusty;Warzywa gotowane;Potrawy z warzyw;Potrawy;83;6,5;1,4;7
Salatka z dorsza;Potrawy rybne;Potrawy rybne;Potrawy;187;13,9;9,8;7,2
Salatka z groszku zielonego;Warzywa gotowane;Potrawy z warzyw;Potrawy;159;13,1;4;10,4
Schab pieczony;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;291;18,7;30,4;0,7
Stek wieprzowy smazony;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;471;42,7;21,7;1,5
Surowka wielowarzywna z jogurtem naturalnym;Surowki;Potrawy z warzyw;Potrawy;35;0,6;1,7;7
Surowka z bialej kapusty;Surowki;Potrawy z warzyw;Potrawy;67;4,7;1,6;7
Surowka z cykorii i jablek;Surowki;Potrawy z warzyw;Potrawy;161;16,4;1;3,8
Surowka z kapusty pekinskiej z majonezem;Surowki;Potrawy z warzyw;Potrawy;94;8,1;1,6;6
Surowka z kapusty pekinskiej z olejem;Surowki;Potrawy z warzyw;Potrawy;53;3,8;1,1;5,7
Surowka z kwaszonej kapusty;Surowki;Potrawy z warzyw;Potrawy;68;4,7;0,9;7,5
Surowka z marchwi;Surowki;Potrawy z warzyw;Potrawy;47;2,3;1,1;7,7
Surowka z marchwi i jablek;Surowki;Potrawy z warzyw;Potrawy;59;0,3;1;16,6
Surowka z ogorkow i pomidorow;Surowki;Potrawy z warzyw;Potrawy;32;1,8;1,1;3,6
Surowka z owocow;Surowki;Potrawy z warzyw;Potrawy;103;0,3;0,5;25,9
Surowka z owocow i warzyw;Surowki;Potrawy z warzyw;Potrawy;148;14,3;1,1;5,1
Surowka z papryki;Surowki;Potrawy z warzyw;Potrawy;91;7,5;1;6,3
Surowka z pomidorow;Surowki;Potrawy z warzyw;Potrawy;14;0,2;0,8;3,2
Surowka z porow z jablkami;Surowki;Potrawy z warzyw;Potrawy;141;12,5;1,7;7,9
Surowka z rzodkiewki;Surowki;Potrawy z warzyw;Potrawy;93;5,9;7,5;3,5
Surowka z selerow i jablek z olejem;Surowki;Potrawy z warzyw;Potrawy;92;7,5;1,1;8,9
Surowka z selerow, jablek i marchwi;Surowki;Potrawy z warzyw;Potrawy;60;0,4;0,9;16,5
Szpinak gotowany, zasmazany;Warzywa gotowane;Potrawy z warzyw;Potrawy;83;6,1;3,8;6,2
Sztuka miesa gotowana;Potrawy z wolowiny;Potrawy miesne;Potrawy;225;10,4;30,8;3,2
Truskawki w galaretce;Desery;Desery;Potrawy;127;0,2;15,4;16
Truskawki z bita smietana;Desery;Desery;Potrawy;127;10,4;1,1;8,4
Watrobka wieprzowa saute smazona;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;241;15,8;20,5;4,8
Wieprzowina gotowana;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;362;29,8;22,5;3,1
Wieprzowina pieczona;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;276;24,1;15,4;0,1
Zeberka wieprzowe duszone;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;210;19,2;7,9;2,2
Ziemniaki puree;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;90;1,4;2,1;18,4
Ziemniaki z tluszczem roslinnym;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;105;3,1;2;18,7
Zrazy wolowe zawijane ze slonina duszone;Potrawy z wolowiny;Potrawy miesne;Potrawy;144;9,4;12,1;3,2
Zupa brokulowa mrozona;Zupy;Zupy;Potrawy;25;0,4;2,3;5,6
Zupa cebulowa;Zupy;Zupy;Potrawy;44;2,7;1,4;4
Zupa cebulowa mrozona;Zupy;Zupy;Potrawy;25;0,3;1,2;6,3
Zupa cytrynowa z ryzem;Zupy;Zupy;Potrawy;58;2,2;1,4;8,6
Zupa fasolowa;Zupy;Zupy;Potrawy;63;1,8;4;10
Zupa fasolowa mrozona;Zupy;Zupy;Potrawy;111;3,1;6,8;18,8
Zupa grochowa;Zupy;Zupy;Potrawy;66;2,4;4,4;8,9
Zupa grzybowa zabielana;Zupy;Zupy;Potrawy;29;1,9;1,5;1,8
Zupa jarzynowa;Zupy;Zupy;Potrawy;28;1,1;1,4;4,3
Zupa jarzynowa mrozona;Zupy;Zupy;Potrawy;22;0,2;2,2;6
Zupa jarzynowa zabielana;Zupy;Zupy;Potrawy;44;1,8;1,7;6,2
Zupa jesienna mrozona;Zupy;Zupy;Potrawy;27;0,2;1,6;7,2
Zupa kalafiorowa;Zupy;Zupy;Potrawy;27;0,5;1,7;4,9
Zupa kalafiorowa mrozona;Zupy;Zupy;Potrawy;22;0,2;2;5,5
Zupa neapolitanska z ementalerem;Zupy;Zupy;Potrawy;62;2,5;2,2;8,1
Zupa ogorkowa;Zupy;Zupy;Potrawy;42;2;1,4;5
Zupa owocowa z jablek;Zupy;Zupy;Potrawy;42;0,1;0,1;10,6
Zupa pieczarkowa mrozona;Zupy;Zupy;Potrawy;16;0,3;1,8;3,7
Zupa pomidorowa;Zupy;Zupy;Potrawy;11;0,1;1;2,1
Zupa pomidorowa;Zupy;Zupy;Potrawy;11;0,1;1;2,1
Zupa pomidorowa z makaronem;Zupy;Zupy;Potrawy;35;1,8;1,6;3,3
Zupa pomidorowa z ryzem;Zupy;Zupy;Potrawy;37;1,8;1,5;3,9
Zupa pomidorowa zabielana;Zupy;Zupy;Potrawy;17;0,6;1,2;2,3
Zupa selerowa;Zupy;Zupy;Potrawy;37;1,8;1,6;4,5
Zupa selerowa z grzankami;Zupy;Zupy;Potrawy;52;1,9;1,9;8
Zupa szczawiowa;Zupy;Zupy;Potrawy;40;2,5;1,7;2,9
Zupa szpinakowa z ziemniakami;Zupy;Zupy;Potrawy;40;0,9;2,2;6,6
Zupa wloska mrozona;Zupy;Zupy;Potrawy;27;0,3;1,8;6,9
Zupa z fasoli szparagowej;Zupy;Zupy;Potrawy;43;0,6;2,2;8,9
Zupa z porow z makaronem;Zupy;Zupy;Potrawy;59;1,4;2,5;10,3
Zupa z zielonego groszku;Zupy;Zupy;Potrawy;57;1,2;3,2;11,2
Zupa ziemniaczana;Zupy;Zupy;Potrawy;39;1,1;1,4;6,6
Zupa ziemniaczana mrozona;Zupy;Zupy;Potrawy;41;0,2;1,5;11
Zupa ziemniaczana zabielana;Zupy;Zupy;Potrawy;48;1,9;1,6;6,5
